nom_gare;code_uic_complet;code_postal;segmentation_drg;total_voyageurs_2021;total_voyageurs_non_voyageurs_2021;total_voyageurs_2020;total_voyageurs_non_voyageurs_2020;total_voyageurs_2019;total_voyageurs_non_voyageurs_2019;total_voyageurs_2018;total_voyageurs_non_voyageurs_2018;totalvoyageurs2017;total_voyageurs_non_voyageurs_2017;total_voyageurs_2016;total_voyageurs_non_voyageurs_2016;total_voyageurs_2015;total_voyageurs_non_voyageurs_2015;comptages;description;image
Phalempin;87286500;59133;b;198097;247621;205214;256518;331190;413987;304017;380021;305952;382441;273362;341703;283486;354358;83.0;La gare de Phalempin est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Phalempin, dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1865, par la Compagnie des mines de Carvin.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Phalempin_-_Train_station_-_3.jpg/420px-Phalempin_-_Train_station_-_3.jpg
Picquigny;87313106;80310;c;68856;68856;58943;58943;67126;67126;63106;63106;66180;66180;70002;70002;70293;70293;19.0;La gare de Picquigny est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située au bourg centre de la commune de Picquigny, dans le département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1847, par la Compagnie du chemin de fer d'Amiens à Boulogne avant de devenir une gare de la Compagnie des chemins de fer du Nord, puis d'être intégrée dans le réseau de la Société nationale des chemins de fer français (SNCF) en 1938.  Picquigny est un point d'arrêt sans personnel de la SNCF, desservi par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Picquigny_%2880%29%2C_gare_SNCF%2C_ancien_b%C3%A2timent_voyageurs%2C_c%C3%B4t%C3%A9_ville.jpg/420px-Picquigny_%2880%29%2C_gare_SNCF%2C_ancien_b%C3%A2timent_voyageurs%2C_c%C3%B4t%C3%A9_ville.jpg
Pihen-lès-Guînes;87316679;62340;c;102;102;429;429;1316;1316;1461;1461;1554;1554;2547;2547;2366;2366;6.0;La gare de Pihen est une gare ferroviaire française de la ligne de Boulogne-Ville à Calais-Maritime, située sur le territoire de la commune de Pihen-lès-Guînes dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Gare_de_Pihen_-_1.JPG/420px-Gare_de_Pihen_-_1.JPG
Poix-de-Picardie;87313395;80290;b;94444;118056;72017;90021;100866;126083;101516;126895;111291;139114;104575;130719;99111;123889;29.0;La gare de Poix-de-Picardie est une gare ferroviaire française située sur le territoire de la commune de Poix-de-Picardie, dans le département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1867, par la Compagnie des chemins de fer du Nord.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/2980499479_1_3_rQHV51Fh.jpg/420px-2980499479_1_3_rQHV51Fh.jpg
Pont d'Ardres;87281410;62610;c;4204;4204;3152;3152;5059;5059;4449;4449;4420;4420;3133;3133;2989;2989;32.0;La gare de Pont-d'Ardres est une gare ferroviaire française de la ligne de Lille aux Fontinettes, située sur le territoire de la commune d'Ardres, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ardres_%28Pas-de-Calais%29_Pont_d%27Ardres%2C_la_gare_%2802%29.JPG/1024px-Ardres_%28Pas-de-Calais%29_Pont_d%27Ardres%2C_la_gare_%2802%29.JPG
Pont de Bois;87286831;59650;c;26275;26275;20486;20486;32391;32391;33493;33493;28859;28859;25071;25071;19530;19530;32.0;La gare de Pont-de-Bois est une gare ferroviaire française de la ligne de Fives à Baisieux, située dans le quartier Pont-de-Bois, sur le territoire de la commune de Villeneuve-d'Ascq, dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Jielbeaumadier_gare_pdbois_vda_2010.jpg/420px-Jielbeaumadier_gare_pdbois_vda_2010.jpg
Pont de Briques;87317115;62360;c;2093;2093;1501;1501;3964;3964;3210;3210;3307;3307;3704;3704;4158;4158;6.0;La gare de Pont-de-Briques est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située sur le territoire de la commune de Saint-Étienne-au-Mont, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Gare_de_Pont_de_Briques.jpg/1024px-Gare_de_Pont_de_Briques.jpg
Pont de la Deûle;87345207;59128;c;17475;17475;13177;13177;19152;19152;17724;17724;19305;19305;19886;19886;23457;23457;83.0;La gare de Pont-de-la-Deûle est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Flers-en-Escrebieux dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Flers-en-Escrebieux_-_Gare_de_Pont-de-la-De%C3%BBle_%2801%29.JPG/420px-Flers-en-Escrebieux_-_Gare_de_Pont-de-la-De%C3%BBle_%2801%29.JPG
Pont de Sallaumines;87345124;62430;c;3785;3785;2675;2675;12206;12206;10953;10953;10353;10353;10272;10272;11080;11080;20.0;La gare de Pont-de-Sallaumines est une gare ferroviaire française de la ligne de Lens à Ostricourt, située sur le territoire de la commune de Sallaumines dans le département du Pas-de-Calais en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Sallaumines_-_Gare_de_Pont-de-Sallaumines_%2809%29.JPG/1024px-Sallaumines_-_Gare_de_Pont-de-Sallaumines_%2809%29.JPG
Pont-à-Vendin;87345264;62880;c;60636;60636;51875;51875;82222;82222;74389;74389;80989;80989;71944;71944;69868;69868;45.0;La gare de Pont-à-Vendin est une gare ferroviaire française de la ligne de Lens à Don - Sainghin, située sur le territoire de la commune de Pont-à-Vendin, dans le département du Pas-de-Calais en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Gare_de_Pont-%C3%A0-Vendin_-_7.JPG/800px-Gare_de_Pont-%C3%A0-Vendin_-_7.JPG
Pont-Remy;87313130;80580;c;15682;15682;11473;11473;16813;16813;14120;14120;17400;17400;17224;17224;17444;17444;19.0;La gare de Pont-Remy est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située sur le territoire de la commune de Pont-Remy, dans le département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1847 par la Compagnie du chemin de fer d'Amiens à Boulogne, avant de devenir une gare de la Compagnie des chemins de fer du Nord.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Pont-R%C3%A9my%2C_Somme%2C_Fr%2C_gare_%282%29.jpg/1024px-Pont-R%C3%A9my%2C_Somme%2C_Fr%2C_gare_%282%29.jpg
Pont-Sainte-Maxence;87276329;60700;b;711240;889050;595440;744300;845482;1056853;779736;974670;842384;1052981;822315;1027894;836052;1045065;74.0;La gare de Pont-Sainte-Maxence est une gare ferroviaire française de la ligne de Creil à Jeumont, située sur le territoire de la commune de Pont-Sainte-Maxence, à proximité immédiate des Ageux, dans le département de l'Oise, en région Hauts-de-France.  Elle est mise en service en 1847, par la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Pont-Sainte-Maxence_%2860%29%2C_gare_SNCF%2C_c%C3%B4t%C3%A9_ville.jpg/420px-Pont-Sainte-Maxence_%2860%29%2C_gare_SNCF%2C_c%C3%B4t%C3%A9_ville.jpg
Précy-sur-Oise;87276410;60460;c;64068;64068;42717;42717;75241;75241;77790;77790;77825;77825;74661;74661;78127;78127;;La gare de Précy-sur-Oise est une gare ferroviaire française de la ligne de Pierrelaye à Creil, située sur le territoire de la commune de Précy-sur-Oise, dans le département de l'Oise en région Hauts-de-France.  C'est une gare SNCF desservie par les trains du réseau Transilien Paris-Nord (ligne H).;https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Gare_de_Precy-sur-Oise_02.jpg/420px-Gare_de_Precy-sur-Oise_02.jpg
Prouvy - Thiant;87343418;59121;c;1559;1559;878;878;1246;1246;904;904;1160;1160;834;834;828;828;27.0;La gare de Prouvy - Thiant est une gare ferroviaire française de la ligne de Lourches à Valenciennes, située sur le territoire de la commune de Prouvy, à proximité de Thiant, dans le département du Nord, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France. Elle est également ouverte au service de fret.  Situation ferroviaire;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Prouvy_%28Nord%2C_Fr%29_gare_de_Prouvy-Thiant.JPG/1024px-Prouvy_%28Nord%2C_Fr%29_gare_de_Prouvy-Thiant.JPG
Quesnoy-le-Montant;87317487;80132;c;0;0;0;0;96;96;334;334;431;431;919;919;1658;1658;;La gare de Quesnoy-le-Montant est une gare ferroviaire française fermée de la ligne d'Abbeville à Eu, située sur le territoire de la commune de Quesnoy-le-Montant, dans le département de la Somme, en région Hauts-de-France.  C'était une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France jusqu'à la fermeture de la ligne en 2018.;https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/QUESNOY.JPG/1024px-QUESNOY.JPG
Quesnoy-sur-Deûle;87286245;59890;c;57;57;142;142;954;954;1248;1248;736;736;1203;1203;1077;1077;6.0;La gare de Quesnoy-sur-Deûle était une gare ferroviaire française de la ligne de La Madeleine à Comines-France, située sur le territoire de la commune de Quesnoy-sur-Deûle, dans le département du Nord, en région Hauts-de-France.  C'était une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Gare_de_Quesnoy-sur-De%C3%BBle_-_2.JPG/420px-Gare_de_Quesnoy-sur-De%C3%BBle_-_2.JPG
Rœux;87342089;62118;c;17040;17040;14871;14871;21031;21031;21018;21018;23640;23640;22208;22208;23362;23362;30.0;La gare de Rœux est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Rœux dans le département du Pas-de-Calais, en région Hauts-de-France.  Elle est mise en service en 1846 par la Compagnie des chemins de fer du Nord.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Gare_de_Roeux_-entr%C3%A9e_rue_%28pas_de_calais%29.jpg/1024px-Gare_de_Roeux_-entr%C3%A9e_rue_%28pas_de_calais%29.jpg
Raismes;87343319;59590;c;30946;30946;30960;30960;47322;47322;42094;42094;43713;43713;39930;39930;37624;37624;21.0;La gare de Raismes (Nord) est une gare ferroviaire française de la ligne de Douai à Blanc-Misseron, située sur le territoire de la commune de Raismes, dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Raismes_-_Gare_de_Raismes_%2805%29.JPG/420px-Raismes_-_Gare_de_Raismes_%2805%29.JPG
Rang-du-Fliers - Verton - Berck;87317057;62180;b;240680;300850;177052;221315;276766;345958;239500;299375;258947;323683;244236;305295;256857;321071;106.0;La gare de Rang-du-Fliers – Verton, commercialement dénommée Rang-du-Fliers - Verton - Berck, est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située sur le territoire de la commune de Rang-du-Fliers, à proximité de Verton et de Berck, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des TGV (assurant également le service TERGV) et des TER.;https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Gare_SNCF_de_Rang-du-Fliers.jpg/420px-Gare_SNCF_de_Rang-du-Fliers.jpg
Recquignies;87295022;59245;c;967;967;2692;2692;7083;7083;6514;6514;7499;7499;7502;7502;8064;8064;2.0;La gare de Recquignies est une gare ferroviaire française de la ligne de Creil à Jeumont, située sur le territoire de la commune de Recquignies, dans le département du Nord en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Recquignies_%28Nord%2C_Fr%29_la_gare.JPG/420px-Recquignies_%28Nord%2C_Fr%29_la_gare.JPG
Remy;87313403;60190;c;9433;9433;7776;7776;8537;8537;6632;6632;8298;8298;7786;7786;7048;7048;38.0;La gare de Remy (Oise) est une gare ferroviaire française de la ligne de Rochy-Condé à Soissons, située sur la commune de Remy, dans le département de l'Oise, en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/GARE_DE_REMY.jpg/420px-GARE_DE_REMY.jpg
Renescure;87281451;59173;c;14664;14664;15567;15567;27002;27002;22340;22340;21080;21080;21329;21329;20960;20960;32.0;La gare de Renescure est une gare ferroviaire française de la ligne de Lille aux Fontinettes, située sur le territoire de la commune de Renescure dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/RENESCURE3.jpg/420px-RENESCURE3.jpg
Ribécourt-Dreslincourt;87276766;60170;c;113866;113866;87888;87888;94451;94451;91803;91803;99963;99963;97580;97580;102379;102379;35.0;La gare de Ribécourt est une gare ferroviaire française située sur le territoire de la commune de Ribécourt-Dreslincourt, dans le département de l'Oise, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/GARE_RIBECOURT.jpg/1024px-GARE_RIBECOURT.jpg
Rieux - Angicourt;87276352;60870;b;112171;140214;96796;120995;131928;164911;128734;160918;144669;180836;147764;184705;152857;191072;24.0;La gare de Rieux - Angicourt est une gare ferroviaire française de la ligne de Creil à Jeumont, située sur le territoire de la commune de Rieux, à proximité d'Angicourt, dans le département de l'Oise, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Rieux_%2860%29%2C_gare_SNCF.jpg/420px-Rieux_%2860%29%2C_gare_SNCF.jpg
Rochy-Condé;87313601;60510;c;3828;3828;3031;3031;4026;4026;4373;4373;4082;4082;3196;3196;2779;2779;22.0;La gare de Rochy-Condé est une gare ferroviaire française de la ligne de Creil à Beauvais, située sur le territoire de la commune de Rochy-Condé, dans le département de l'Oise en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Gare_Rochy-Cond%C3%A9.JPG/420px-Gare_Rochy-Cond%C3%A9.JPG
Ronchin;87286534;59790;c;46563;46563;36744;36744;46032;46032;41638;41638;42290;42290;41056;41056;47404;47404;83.0;La gare de Ronchin est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Ronchin dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Gare_de_Ronchin.jpg/420px-Gare_de_Ronchin.jpg
Rosières-en-Santerre;87313460;80170;b;105106;131383;81265;101582;111004;138755;103309;129136;111380;139225;119012;148765;124958;156198;41.0;La gare de Rosières est une gare ferroviaire française de la ligne d'Amiens à Laon, située à proximité du village centre sur le territoire de la commune de Rosières-en-Santerre, dans le département de la Somme, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Gare_de_Rosi%C3%A8res-en-Santerre_4.jpg/420px-Gare_de_Rosi%C3%A8res-en-Santerre_4.jpg
Rosult;87286567;59230;c;53234;53234;45264;45264;68125;68125;63529;63529;67731;67731;61394;61394;64914;64914;56.0;La gare de Rosult est une gare ferroviaire française de la ligne de Fives à Hirson, située au lieu-dit Galmont sur le territoire de la commune de Rosult dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1870 par la Compagnie du Lille-Valenciennes et devient en 1875 une gare de la Compagnie des chemins de fer du Nord. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Rosult_%28Nord%2C_Fr%29_gare.JPG/420px-Rosult_%28Nord%2C_Fr%29_gare.JPG
Roubaix;87286732;59100;b;115165;143957;110804;138506;221272;276590;186867;233584;162587;203234;129704;162130;110953;138692;53.0;La gare de Roubaix est une gare ferroviaire française de la ligne de Fives à Mouscron (frontière), située à proximité du centre-ville de Roubaix, dans le département du Nord, en région Hauts-de-France.  La station est mise en service en 1842, par la Compagnie des chemins de fer de Lille et Valenciennes à la frontière belge. Le bâtiment actuel, ouvert en 1888, est dû à Sidney Dunnett, architecte de la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des TGV inOui, des trains TER Hauts-de-France et des trains de la Société nationale des chemins de fer belges (SNCB). Elle est également desservie par la ligne 2 du métro de Lille, dont la station Gare Jean-Lebas Roubaix est accessible par des ascenseurs situés en face de l'entrée de la gare SNCF.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Gare_de_ROUBAIX.jpg/420px-Gare_de_ROUBAIX.jpg
Rue;87317404;80120;b;119209;149011;82576;103220;105527;131909;99067;123834;111598;139498;104876;131095;112566;140708;79.0;La gare de Rue est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située à 600 mètres du centre du bourg de Rue, dans le département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1847 par la Compagnie du chemin de fer d'Amiens à Boulogne, avant de devenir une gare de la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux (TER Hauts-de-France).;https://upload.wikimedia.org/wikipedia/commons/2/25/Gare_de_Rue_%28Somme%29.jpg
Ruminghem;87287300;62370;c;27757;27757;26271;26271;30921;30921;27684;27684;24848;24848;24239;24239;24833;24833;33.0;La gare de Ruminghem est une gare ferroviaire française de la ligne de Lille aux Fontinettes, située sur le territoire de la commune de Ruminghem dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Ruminghem_%28Pas-de-Calais%29_la_gare.JPG/420px-Ruminghem_%28Pas-de-Calais%29_la_gare.JPG
Sérifontaine;87381269;60590;c;2746;2746;522;522;1048;1048;4700;4700;6693;6693;6792;6792;7675;7675;8.0;La gare de Sérifontaine est une gare ferroviaire française de la ligne de Saint-Denis à Dieppe située sur le territoire de la commune de Sérifontaine dans le département de l'Oise en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF) qui était fermée au service des voyageurs depuis les années 1990 jusqu'en décembre 2013.  Le 15 décembre 2013, le trafic TER a repris entre Gisors et Serqueux après des travaux de rénovation de la voie établis en recourant à un chantier mécanisé ferroviaire dit Renouvellement Voie Ballast.;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/X73791_%C3%A0_S%C3%A9rifontaine_par_Cramos.JPG/420px-X73791_%C3%A0_S%C3%A9rifontaine_par_Cramos.JPG
Sains-du-Nord;87295709;59177;c;35654;35654;34475;34475;53761;53761;53732;53732;57580;57580;59068;59068;67083;67083;48.0;La gare de Sains-du-Nord est une gare ferroviaire française de la ligne de Fives à Hirson, située sur le territoire de la commune de Sains-du-Nord dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Sains-du-Nord_%28Nord%2C_Fr%29_la_gare_%28entr%C3%A9e%29.jpg/1024px-Sains-du-Nord_%28Nord%2C_Fr%29_la_gare_%28entr%C3%A9e%29.jpg
Saint-Amand-les-Eaux;87343103;59230;b;541191;676489;491357;614196;778244;972805;726583;908229;742010;927513;686246;857807;679655;849569;120.0;La gare de Saint-Amand-les-Eaux est une gare ferroviaire française des lignes de Fives à Hirson, de Saint-Amand-les-Eaux à Blanc-Misseron , de Saint-Amand-les-Eaux à Maulde et de Denain à Saint-Amand-les-Eaux. Elle est située sur le territoire de la commune de Saint-Amand-les-Eaux dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Gare_de_Saint-Amand-les-Eaux_-_B%C3%A2timent_voyageurs_-_1.JPG/1024px-Gare_de_Saint-Amand-les-Eaux_-_B%C3%A2timent_voyageurs_-_1.JPG
Saint-André-lez-Lille;87286195;59350;c;15188;15188;10102;10102;15321;15321;14598;14598;17021;17021;16714;16714;17216;17216;40.0;La gare de Saint-André (Nord) est une gare ferroviaire française de la ligne de Lille aux Fontinettes, située sur le territoire de la commune de Saint-André-lez-Lille, dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Gare_Saint_Andr%C3%A9.Ph_Philippe_Brizard.jpg/420px-Gare_Saint_Andr%C3%A9.Ph_Philippe_Brizard.jpg
Sainte-Marguerite;87287193;59660;c;1;1;1;1;63;63;16;16;11;11;8;8;0;0;6.0;La gare de Sainte-Marguerite était une gare ferroviaire française de la ligne de La Madeleine à Comines-France, située sur le territoire de la commune de Comines, dans le département du Nord en région Hauts-de-France.  Un simple arrêt facultatif est ouvert en 1886 par la Compagnie des chemins de fer du Nord. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Gare_de_Sainte-Marguerite_-_1.JPG/420px-Gare_de_Sainte-Marguerite_-_1.JPG
Saint-Erme-Outre-et-Ramecourt;87171751;2820;c;60139;60139;50364;50364;64178;64178;72014;72014;86736;86736;85490;85490;80767;80767;42.0;La gare de Saint-Erme est une gare ferroviaire française de la ligne de Reims à Laon, située sur le territoire de la commune de Saint-Erme-Outre-et-Ramecourt, à proximité de Montaigu, dans le département de l'Aisne en région Hauts-de-France.  Elle est mise en service en 1857 par la Compagnie des chemins de fer des Ardennes. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Grand Est.;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Saint-Erme-Outre-et-Ramecourt_%28Aisne%29_gare_de_Saint-Erme_cot%C3%A9_rue.JPG/1024px-Saint-Erme-Outre-et-Ramecourt_%28Aisne%29_gare_de_Saint-Erme_cot%C3%A9_rue.JPG
Saint-Hilaire-sur-Helpe;87297531;59292;c;107;107;44;44;729;729;465;465;205;205;50;50;355;355;5.0;La gare de Saint-Hilaire est une gare ferroviaire française de la ligne de Fives à Hirson, située sur le territoire de la commune de Saint-Hilaire-sur-Helpe dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Saint-Hilaire-sur-Helpe_-_Gare_-_1.JPG/420px-Saint-Hilaire-sur-Helpe_-_Gare_-_1.JPG
Saint-Just-en-Chaussée;87313270;60130;b;436351;545439;407514;509392;521732;652165;511473;639341;538917;673646;535839;669799;534584;668230;99.0;La gare de Saint-Just-en-Chaussée est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située à 500 mètres du centre-ville de Saint-Just-en-Chaussée, dans le département de l'Oise, en région Hauts-de-France.  Elle est mise en service en 1846, par la Compagnie du chemin de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France, qui effectuent des missions entre les gares de Paris-Nord et Amiens. Paris est à 80 kilomètres et Amiens à 51 kilomètres.;https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/B%C3%A2timent_voyageur%2C_Gare_de_Saint-Just-en-Chaiss%C3%A9e.jpg/1024px-B%C3%A2timent_voyageur%2C_Gare_de_Saint-Just-en-Chaiss%C3%A9e.jpg
Saint-Leu-d'Esserent;87276402;60340;c;103178;103178;64102;64102;117808;117808;118327;118327;127725;127725;126491;126491;129788;129788;;La gare de Saint-Leu-d'Esserent est une gare ferroviaire française de la ligne de Pierrelaye à Creil, située sur le territoire de la commune de Saint-Leu-d'Esserent, dans le département de l'Oise en région Hauts-de-France.  Elle est mise en service en 1846 par la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par les trains du réseau Transilien Paris-Nord (ligne H).;https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Gare_de_Saint-Leu-d%27Esserent_01.jpg/420px-Gare_de_Saint-Leu-d%27Esserent_01.jpg
Saint-Omer;87281444;62500;b;712895;891119;622485;778106;938516;1173145;865702;1082127;913715;1142144;848920;1061150;891754;1114693;58.0;La gare de Saint-Omer est une gare ferroviaire française des lignes de Lille aux Fontinettes et de Saint-Omer à Hesdigneul, située à proximité du centre-ville de Saint-Omer, sous-préfecture du département du Pas-de-Calais, en région Hauts-de-France.  Elle est mise en service en 1848 par la Compagnie des chemins de fer du Nord. L'actuel bâtiment voyageurs est inauguré en 1904.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Saint-Omer_-_Gare.jpg/420px-Saint-Omer_-_Gare.jpg
Saint-Omer-en-Chaussée;87313718;60860;c;5610;5610;4458;4458;4522;4522;6679;6679;8695;8695;6873;6873;5496;5496;44.0;La gare de Saint-Omer-en-Chaussée est une gare ferroviaire française de la ligne d'Épinay - Villetaneuse au Tréport - Mers, située sur le territoire de la commune de Saint-Omer-en-Chaussée, dans le département de l'Oise, en région Hauts-de-France.  Elle est mise en service en 1875 par la Compagnie des chemins de fer du Nord.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/1/10/Gare_de_Saint-Omer-en-Chauss%C3%A9e_%28fa%C3%A7ade_ext%29.jpg
