stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
62:27460,62:27460,"BERLENCOURT-LE-CAUROY - Le Cauroy - R des Platanes","",50.265804,2.427042,,,0,STOPAREA:62:9137,,
62:27463,62:27463,"BERLENCOURT-LE-CAUROY - Le Cauroy - R des Coudriers - Abr","",50.265965,2.43273,,,0,STOPAREA:62:9136,,
62:27464,62:27464,"BERLENCOURT-LE-CAUROY - Le Cauroy - R des Coudriers","",50.266031,2.432795,,,0,STOPAREA:62:9136,,
62:27466,62:27466,"LIENCOURT - Rue d'Arras - N°1","",50.271459,2.45282,,,0,STOPAREA:62:7492,,
62:27468,62:27468,"BEAUFORT-BLAVINCOURT - Le Paradis - Abri","",50.272865,2.485682,,,0,STOPAREA:62:5925,,
62:27469,62:27469,"BEAUFORT-BLAVINCOURT - Le Paradis - N°594","",50.272925,2.485761,,,0,STOPAREA:62:5925,,
62:27488,62:27488,"AVESNES-LE-COMTE - Mairie - Grande Rue - N°48","",50.276442,2.52738,,,0,STOPAREA:62:5837,,
62:27489,62:27489,"AVESNES-LE-COMTE - Pl Anciens Combattants - N°109","",50.278128,2.530459,,,0,STOPAREA:62:5831,,
62:27490,62:27490,"AVESNES-LE-COMTE - Pl Anciens Combattants - N°138","",50.278143,2.530129,,,0,STOPAREA:62:5831,,
62:27491,62:27491,"AVESNES-LE-COMTE - Place Louis Mexandeau - Abri","",50.278672,2.535052,,,0,STOPAREA:62:5836,,
62:27492,62:27492,"AVESNES-LE-COMTE - Place Louis Mexandeau - F Abri","",50.278701,2.534969,,,0,STOPAREA:62:5836,,
62:27493,62:27493,"AVESNES-LE-COMTE - Cité Jean Monnet - Abri","",50.282285,2.546196,,,0,STOPAREA:62:5833,,
62:27494,62:27494,"AVESNES-LE-COMTE - Cité Jean Monnet - F Abri","",50.282304,2.546101,,,0,STOPAREA:62:5833,,
62:27495,62:27495,"NOYELLE-VION - Int Rd339 / Rd78E2 - Abri","",50.286613,2.56131,,,0,STOPAREA:62:9150,,
62:27496,62:27496,"NOYELLE-VION - Int Rd339 / Rd78E2","",50.287083,2.561946,,,0,STOPAREA:62:9150,,
62:27497,62:27497,"LATTRE-SAINT-QUENTIN - Silo - Rue d'Arras - Abri","",50.292406,2.57647,,,0,STOPAREA:62:7390,,
62:27498,62:27498,"LATTRE-SAINT-QUENTIN - Silo - Rue d'Arras - Poteau","",50.292193,2.575689,,,0,STOPAREA:62:7390,,
62:27499,62:27499,"NOYELLETTE - Rue d'Arras - N°378 - Abri","",50.301552,2.593774,,,0,STOPAREA:62:7939,,
62:27500,62:27500,"NOYELLETTE - Rue d'Arras - N°370","",50.301625,2.593711,,,0,STOPAREA:62:7939,,
62:27501,62:27501,"HABARCQ - Rue d'Arras - N°57 - Abri","",50.306385,2.613358,,,0,STOPAREA:62:7103,,
62:27502,62:27502,"HABARCQ - Rue d'Arras - N°58","",50.306478,2.613186,,,0,STOPAREA:62:7103,,
62:27503,62:27503,"MONTENESCOURT - Château d'Eau - R d'Arras - Abri","",50.306006,2.627207,,,0,STOPAREA:62:9217,,
62:27504,62:27504,"MONTENESCOURT - Château d'Eau - Rue d'Arras","",50.306055,2.626876,,,0,STOPAREA:62:9217,,
62:27505,62:27505,"ARRAS - Gare Interurbaine - Abri","",50.285724,2.777047,,,0,STOPAREA:62:5699,,
