CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;GeoPoint;GeoShape
87342337;St-Pol-sur-Ternoise;O;O;289000;1;072+758;SAINT-POL-SUR-TERNOISE;PAS-DE-CALAIS;6648;c0e624d0-f312-11e3-90ff-015864e0362d;652981,9483;7031434,579;2,33989016;50,37879721;50.378797205158335, 2.3398901604659437;50.37879720421716, 2.339890160465942;"{""coordinates"":[2.339890160465942,50.37879720421716],""type"":""Point""}"
87343459;Denain;N;O;254000;1;228+389;DENAIN;NORD;3934;d9bdb452-6667-11e3-89ff-01f464e0362d;727713,5066;7026389,819;3,388740947;50,33465821;50.33465820507646, 3.3887409472857324;50.33465820413481, 3.3887409472857324;"{""coordinates"":[3.388740947285732,50.33465820413481],""type"":""Point""}"
87343103;St-Amand-les-Eaux;O;O;256000;1;245+890;SAINT-AMAND-LES-EAUX;NORD;6358;29adbd32-dfbc-11e3-a2ff-01a464e0362d;729342,1767;7038799,302;3,412495431;50,44598753;50.44598752949574, 3.412495431096073;50.44598752855527, 3.4124954310960725;"{""coordinates"":[3.412495431096072,50.44598752855527],""type"":""Point""}"
87743526;Bellignat;N;O;878000;1;106+818;BELLIGNAT;AIN;3172;d99356f6-6667-11e3-89ff-01f464e0362d;902660,8569;6574384,272;5,63050188;46,23893946;46.238939457824436, 5.630501879615334;46.23893945686608, 5.630501879615333;"{""coordinates"":[5.630501879615333,46.23893945686608],""type"":""Point""}"
87317495;Chepy-Valines;N;O;323000;1;193+374;CHÉPY;SOMME;3695;29c5a74a-dfbc-11e3-a2ff-01a464e0362d;602243,118;6997500,829;1,635877525;50,06827333;50.068273334840214, 1.6358775250018078;50.06827333389577, 1.635877525001806;"{""coordinates"":[1.635877525001806,50.06827333389577],""type"":""Point""}"
87723734;St-André-de-Corcy;O;O;886000;1;027+442;SAINT-ANDRÉ-DE-CORCY;AIN;6366;c07b65f4-f312-11e3-90ff-015864e0362d;851003,7556;6538117,5;4,948707636;45,92598172;45.925981717567566, 4.948707636273644;45.925981716607915, 4.948707636273643;"{""coordinates"":[4.948707636273643,45.925981716607915],""type"":""Point""}"
87286203;Strazeele;N;O;295000;1;039+747;STRAZEELE;NORD;6903;d976df94-6667-11e3-89ff-01f464e0362d;673886,4729;7068590,391;2,630935113;50,71350179;50.71350179346863, 2.6309351128683205;50.713501792531055, 2.630935112868319;"{""coordinates"":[2.630935112868319,50.713501792531055],""type"":""Point""}"
87343301;Wallers;N;O;262000;1;238+294;WALLERS;NORD;7343;e0461080-19bf-11e5-82ff-01fc64e0362d;728035,0934;7031953,071;3,393640834;50,38458899;50.38458898670618, 3.3936408340611224;50.38458898576506, 3.393640834061122;"{""coordinates"":[3.393640834061122,50.38458898576506],""type"":""Point""}"
87317149;Desvres;O;N;310000;1;102+381;DESVRES;PAS-DE-CALAIS;3937;d949827c-6667-11e3-89ff-01f464e0362d;618295,3498;7063758,458;1,846332149;50,66533386;50.665333856749584, 1.8463321488976425;50.66533385581148, 1.846332148897641;"{""coordinates"":[1.846332148897641,50.66533385581148],""type"":""Point""}"
87281246;Gravelines;N;O;304000;1;023+646;GRAVELINES;NORD;4355;e018032a-19bf-11e5-82ff-01fc64e0362d;638334,2289;7098431,012;2,123821671;50,97869144;50.978691442574615, 2.12382167055364;50.978691441639945, 2.123821670553639;"{""coordinates"":[2.123821670553639,50.978691441639945],""type"":""Point""}"
87345207;Pont-de-la-Deûle;O;O;272000;1;220+390;FLERS-EN-ESCREBIEUX;NORD;6071;e164ff6a-19bf-11e5-a6ff-01fc64e0362d;706048,3722;7033345,67;3,084946919;50,39768903;50.39768903291043, 3.0849469193237007;50.39768903196946, 3.0849469193237002;"{""coordinates"":[3.0849469193237,50.39768903196946],""type"":""Point""}"
87313379;Namps-Quevauvillers;N;O;321000;1;019+187;NAMPS-MAISNIL;SOMME;5730;28f76038-dfbc-11e3-a2ff-01a464e0362d;635551,9448;6968063,064;2,105280732;49,80814622;49.808146221661694, 2.105280731925284;49.808146220714555, 2.1052807319252826;"{""coordinates"":[2.105280731925283,49.808146220714555],""type"":""Point""}"
87286807;Genech;N;O;268000;1;252+844;GENECH;NORD;4282;29dce5ec-dfbc-11e3-a2ff-01a464e0362d;715657,0725;7048206,498;3,220479481;50,53091976;50.53091976111437, 3.2204794807239776;50.53091976017482, 3.2204794807239767;"{""coordinates"":[3.220479480723977,50.53091976017482],""type"":""Point""}"
87286252;Rougebarre;O;N;278000;1;003+612;MARCQ-EN-BAROEUL;NORD;80928;e547e6a6-6667-11e3-a7ff-01f464e0362d;707498,1815;7061935,995;3,10584713;50,65429044;50.65429044322478, 3.1058471302332493;50.654290442286566, 3.1058471302332484;"{""coordinates"":[3.105847130233248,50.654290442286566],""type"":""Point""}"
87286575;Landas;N;O;267000;1;025+172;LANDAS;NORD;4846;29455c98-dfbc-11e3-a2ff-01a464e0362d;720630,5273;7041296,57;3,290156478;50,46875212;50.468752121849114, 3.2901564783084076;50.468752120908896, 3.2901564783084067;"{""coordinates"":[3.290156478308407,50.468752120908896],""type"":""Point""}"
87723577;La Valbonne;O;O;890000;1;030+464;BÉLIGNEUX;AIN;4885;c12c0350-f312-11e3-90ff-015864e0362d;864838,1284;6529921,284;5,124313081;45,84898732;45.84898731573564, 5.124313081373071;45.84898731477568, 5.124313081373072;"{""coordinates"":[5.124313081373072,45.84898731477568],""type"":""Point""}"
87342014;Arras;O;O;301000;1;192+127;ARRAS;PAS-DE-CALAIS;2942;d9748982-6667-11e3-89ff-01f464e0362d;684435,1755;7021001,653;2,781877764;50,28670061;50.28670060943111, 2.781877763520992;50.28670060848897, 2.7818777635209915;"{""coordinates"":[2.781877763520991,50.28670060848897],""type"":""Point""}"
87342261;Ham-en-Artois;N;O;301000;1;246+028;HAM-EN-ARTOIS;PAS-DE-CALAIS;4404;2945bed4-dfbc-11e3-a2ff-01a464e0362d;662128,4456;7054846,221;2,466075552;50,58955983;50.589559825962844, 2.466075551732472;50.589559825023926, 2.466075551732471;"{""coordinates"":[2.466075551732471,50.589559825023926],""type"":""Point""}"
