stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
02:00480,02:00480,"AUDIGNY - LA DESOLATION","",49.87441,3.63029,,,0,,,
02:00485,02:00485,"LAON - INSTITUTION  LA PROVIDENCE","",49.56298,3.62173,,,0,,,
02:00501,02:00501,"BOIS LES P. - ABRI RUE M. CARLIER","",49.73099,3.64848,,,0,,,
02:00509,02:00509,"LANDIFAY ET B. - ABRI RUE EGLISE","",49.81683,3.60548,,,0,,,
02:00514,02:00514,"PUISIEUX ET C. - ABRI","",49.85317,3.67785,,,0,,,
02:00516,02:00516,"BARENTON CEL - ARRET SCOLAIRE","",49.64369,3.65501,,,0,,,
02:00517,02:00517,"BARENTON BUGNY - ARRET EGLISE","",49.63496,3.65069,,,0,,,
02:00519,02:00519,"GRAND VERLY - ABRI","",49.93806,3.58323,,,0,,,
02:00523,02:00523,"MENNEVRET - RTE DE WASSIGNY","",49.98524,3.55563,,,0,,,
02:00525,02:00525,"ETREUX - ABRI S.POLYVA.","",49.98986,3.65483,,,0,,,
02:00534,02:00534,"LANISCOURT - ABRI EGLISE","",49.54878,3.54211,,,0,,,
02:00540,02:00540,"FAUCOUCOURT - MAIRIE","",49.53481,3.46479,,,0,,,
02:00541,02:00541,"SUZY - ABRI","",49.55045,3.46756,,,0,,,
02:00542,02:00542,"PREMONTRE - RUE DES CHASSEURS","",49.53883,3.41553,,,0,,,
02:00543,02:00543,"PREMONTRE - ABRI SQUARE MAIRIE","",49.54174,3.41166,,,0,,,
02:00550,02:00550,"ST GOBAIN - EC. MATERNELLE","",49.59635,3.37941,,,0,,,
02:00552,02:00552,"BARISIS AUX B. - PLACE","",49.57842,3.32783,,,0,,,
02:00559,02:00559,"CHAUNY - GARE SNCF","",49.61157,3.22385,,,0,,,
02:00560,02:00560,"CHAUNY - PLACE BOUZIER","",49.61692,3.21402,,,0,,,
02:00570,02:00570,"FAUCOUCOURT - FERME MANNEUX","",49.54179,3.49223,,,0,,,
02:00571,02:00571,"CLACY ET T. - FERME DE THIERRET","",49.55236,3.5554,,,0,,,
02:00579,02:00579,"TRUCY - MAIRIE","",49.4712,3.61051,,,0,,,
02:00581,02:00581,"COLLIGIS C. - COLLIGIS PLACE ABRI","",49.47553,3.64021,,,0,,,
02:00589,02:00589,"ETOUVELLES - MAIRIE","",49.5217,3.58149,,,0,,,
02:00605,02:00605,"BOHAIN EN V. - COLLEGE H. MATISSE","",49.98526,3.4567,,,0,,,
02:00606,02:00606,"BOHAIN EN V. - ECOLE BERTHELOT","",49.9881,3.45517,,,0,,,
02:00607,02:00607,"BOHAIN EN V. - EC.CHENE BRULE","",49.98911,3.45681,,,0,,,
02:00608,02:00608,"BOHAIN EN V. - MAT ALAVOINE","",49.98871,3.45014,,,0,,,
02:00609,02:00609,"BOHAIN EN V. - 24 RUE FAGARD","",49.98749,3.45364,,,0,,,
02:00610,02:00610,"BOHAIN EN V. - ABRI GARE SNCF","",49.9881,3.44327,,,0,,,
02:00613,02:00613,"BOHAIN EN V. - 30 RUE J. MOULIN","",49.98168,3.45871,,,0,,,
02:00627,02:00627,"COURBES - ABRI MAIRIE","",49.6848,3.45202,,,0,,,
02:00660,02:00660,"HINACOURT - FACE ABRI","",49.74522,3.29564,,,0,,,
02:00662,02:00662,"CERIZY - PLACE","",49.76069,3.32929,,,0,,,
02:00668,02:00668,"BRANCOURT EN L. - EGLISE ABRI","",49.51547,3.41834,,,0,,,
02:00670,02:00670,"ANIZY LE G. - ABRI COTE EGLISE","",49.50479,3.45248,,,0,,,
02:00672,02:00672,"PINON - FACE ABRI PL. CH. DE GAUL","",49.48799,3.44759,,,0,,,
02:00677,02:00677,"LAFFAUX - ABRI VILLAGE","",49.44891,3.42564,,,0,,,
02:00683,02:00683,"VERVINS - PLACE DU PALAIS","",49.834,3.90949,,,0,,,
02:00686,02:00686,"LA VALLEE A. - ABRI PLACE HLM","",49.8543,3.78145,,,0,,,
02:00701,02:00701,"PLOMION - LA NIGAUDIERE","",49.83064,4.03497,,,0,,,
02:00706,02:00706,"ORIGNY EN T. - FACE ABRI MAIRIE","",49.89527,4.01771,,,0,,,
02:00712,02:00712,"CLAIRFONTAINE - R. PARIS ANC.GARE","",49.96574,3.97081,,,0,,,
02:00713,02:00713,"LA CAPELLE - COLLEGE","",49.97481,3.92094,,,0,,,
02:00719,02:00719,"ESQUEHERIES - LE GRAND WEZ ABRI","",49.9822,3.77898,,,0,,,
02:00725,02:00725,"FROIDESTREES - FACE ABRI 32 RN2","",49.944,3.90531,,,0,,,
02:00731,02:00731,"ETREUX - FACE ABRI C. DE GAULLE","",49.99691,3.66392,,,0,,,
02:00732,02:00732,"ETREUX - FACE COOP AGRI.","",49.99192,3.65416,,,0,,,
02:00734,02:00734,"VENEROLLES - ABRI","",49.98432,3.63862,,,0,,,
02:00735,02:00735,"HANNAPES - ABRI X D27/D66","",49.97338,3.62506,,,0,,,
02:00740,02:00740,"BOHAIN EN V. - PLACE THIERS","",49.98579,3.45843,,,0,,,
02:00746,02:00746,"TUPIGNY - CAFE","",49.95736,3.60666,,,0,,,
02:00747,02:00747,"MENNEVRET - ABRI EGLISE","",49.98383,3.55531,,,0,,,
02:00749,02:00749,"MONTIGNY EN A. - VILLAGE ABRI","",49.90533,3.47482,,,0,,,
02:00772,02:00772,"BERRY AU B. - ECOLE ABRI","",49.40357,3.90091,,,0,,,
02:00777,02:00777,"BEAURIEUX - PL. FRANCOIS 1ER","",49.3939,3.73971,,,0,,,
02:00808,02:00808,"VADENCOURT - LONGCHAMPS ABRI","",49.91649,3.56464,,,0,,,
