service_id,date,exception_type
000038,20231104,1
000038,20231106,1
000038,20231107,1
000038,20231108,1
000038,20231109,1
000038,20231110,1
000038,20231111,1
000038,20231113,1
000038,20231114,1
000038,20231115,1
000038,20231116,1
000038,20231117,1
000038,20231118,1
000038,20231120,1
000038,20231121,1
000038,20231122,1
000038,20231123,1
000038,20231124,1
000038,20231127,1
000038,20231128,1
000038,20231129,1
000038,20231130,1
000038,20231201,1
000038,20231202,1
000038,20231204,1
000038,20231205,1
000038,20231206,1
000038,20231207,1
000038,20231208,1
000038,20231209,1
000039,20231211,1
000039,20231212,1
000039,20231213,1
000039,20231214,1
000039,20231215,1
000039,20231218,1
000039,20231219,1
000039,20231220,1
000039,20231221,1
000039,20231222,1
000039,20231226,1
000039,20231227,1
000039,20231228,1
000039,20231229,1
000039,20240102,1
000039,20240103,1
000039,20240104,1
000039,20240105,1
000039,20240108,1
000039,20240109,1
000039,20240110,1
000039,20240111,1
000040,20231015,1
000040,20231101,1
000040,20231112,1
000040,20231119,1
000040,20231126,1
000040,20231203,1
000041,20231029,1
000042,20231022,1
000043,20231014,1
000043,20231016,1
000043,20231017,1
000043,20231018,1
000043,20231019,1
000043,20231020,1
000043,20231023,1
000043,20231024,1
000043,20231025,1
000043,20231026,1
000043,20231027,1
000043,20231030,1
000043,20231031,1
000043,20231102,1
000043,20231103,1
000043,20231104,1
000043,20231106,1
000043,20231107,1
000043,20231108,1
000043,20231109,1
000043,20231110,1
000043,20231111,1
000043,20231113,1
000043,20231114,1
000043,20231115,1
000043,20231116,1
000043,20231117,1
000043,20231118,1
000043,20231120,1
000043,20231121,1
000043,20231122,1
000043,20231123,1
000043,20231124,1
000043,20231125,1
000043,20231127,1
000043,20231128,1
000043,20231129,1
000043,20231130,1
000043,20231201,1
000043,20231202,1
000043,20231204,1
000043,20231205,1
000043,20231206,1
000043,20231207,1
000043,20231208,1
000043,20231209,1
000044,20231021,1
000045,20231014,1
000045,20231111,1
000045,20231118,1
000045,20231125,1
000045,20231202,1
000045,20231209,1
000046,20231028,1
000047,20231023,1
000047,20231024,1
000047,20231025,1
000047,20231026,1
000047,20231120,1
000047,20231121,1
000047,20231122,1
000047,20231123,1
000048,20231016,1
000048,20231017,1
000048,20231018,1
000048,20231019,1
000048,20231020,1
000048,20231027,1
000048,20231030,1
000048,20231031,1
000048,20231102,1
000048,20231103,1
000048,20231106,1
000048,20231107,1
000048,20231108,1
000048,20231109,1
000048,20231110,1
000048,20231113,1
000048,20231114,1
000048,20231115,1
000048,20231116,1
000048,20231117,1
000048,20231124,1
000048,20231127,1
000048,20231128,1
000048,20231129,1
000048,20231130,1
000048,20231201,1
000048,20231204,1
000048,20231205,1
000048,20231206,1
000048,20231207,1
000048,20231208,1
000049,20231014,1
000049,20231015,1
000049,20231022,1
000049,20231029,1
000049,20231105,1
000049,20231111,1
000049,20231112,1
000049,20231118,1
000049,20231119,1
000049,20231125,1
000049,20231126,1
000049,20231202,1
000049,20231203,1
000049,20231209,1
000050,20231014,1
000050,20231015,1
000050,20231022,1
000050,20231029,1
000050,20231101,1
000050,20231105,1
000050,20231111,1
000050,20231112,1
000050,20231118,1
000050,20231119,1
000050,20231125,1
000050,20231126,1
000050,20231202,1
000050,20231203,1
000050,20231209,1
000051,20231016,1
000051,20231017,1
000051,20231018,1
000051,20231019,1
000051,20231023,1
